"Taxon","Subtaxon","Family","Scientific.Name","Common.Name","ESA","MESA","IUCN","RSGCN","G.Rank","S.Rank","USFWS","SGCN","BHHA","Priority.at.risk.Species","Thresholds","CCVA","Threats_CC","Threats","Description.of.Threats","Pop..Trend","Other","CCVA.Source","Total...of.Conservation.Sources","Total...of.Climate.Sources","Conservation.Rank","Climate.Rank"
"Fish","","Anguillidae","Anguilla rostrata","American eel",NA,NA,4,5,2,3,5,"N","Y","N",NA,3,2,"BIO;NAT;INV;POL;CC","Fishing & harvesting aquatic resources, dams & water management/use, invasive non-native/alien species/diseases, domestic & urban waste water, industrial & military effluents, and habitat shifting & alteration","Decreasing",NA,"Hare et al. 2016 NEVA",5,2,3.8,2.5
"Bird","Shorebird","Charadriidae","Charadrius melodus","Piping plover",4,4,2,5,3,4,NA,"Y","Y","N",2,3,2,"DEV;DIS;INV;CC","Commercial & industrial areas, recreational activities, work & other activities, invasive non-native/alien species/diseases, problematic native species/diseases, droughts, and storms & flooding","Increasing","Highest priority Waterbird Plan","Mass Audubon 2019",6,3,3.66666666666667,2.33333333333333
"Fish","","Zoarcidae","Zoarces americanus","Ocean pout",NA,NA,NA,NA,1,NA,NA,"N","N","N",NA,3,NA,NA,NA,NA,NA,"Hare et al. 2016 NEVA",1,1,1,3
"Invertebrate","","Pectinidae","Placopecten magellanicus","Atlantic sea scallop",NA,NA,NA,NA,NA,NA,NA,"N","Y",NA,NA,3,NA,NA,NA,NA,NA,"Hare et al. 2016 NEVA",0,1,NA,3
"Invertebrate","","Mactridae","Spisula solidissima","Atlantic surf clam",NA,NA,NA,NA,1,NA,NA,"N","Y",NA,NA,3,NA,NA,NA,NA,NA,"Hare et al. 2016 NEVA",1,1,1,3
"Invertebrate","","Strongylocentrotidae","Strongylocentrotus droebachiensis","Green sea urchin",NA,NA,NA,NA,1,NA,NA,"N","Y",NA,NA,3,NA,NA,NA,NA,NA,"Hare et al. 2016 NEVA",1,1,1,3
"Fish","","Clupeidae","Clupea harengus","Atlantic Herring",NA,NA,1,NA,NA,NA,NA,"N","N","N",NA,1,NA,"BIO","Fishing & harvesting aquatic resources","Increasing",NA,"Hare et al. 2016 NEVA",1,2,1,1
"Fish","","Rajidae","Leucoraja erinacea","Little Skate",NA,NA,1,NA,1,NA,NA,"N","N","N",NA,1,NA,"BIO","Fishing & harvesting aquatic resources","Increasing",NA,"Hare et al. 2016 NEVA",2,2,1,1
"Fish","","Merlucciidae","Merluccius bilinearis","Silver Hake",NA,NA,2,NA,1,NA,NA,"N","N","N",NA,1,NA,"BIO","Fishing & harvesting aquatic resources","Unknown",NA,"Hare et al. 2016 NEVA",2,2,1.5,1
"Bird","Tern","Laridae","Sterna hirundo","Common tern",NA,3,1,5,1,3,NA,"Y","Y","N",NA,1,NA,"BIO;DIS","Hunting & trapping terrestrial animals and recreational activities","Unknown","Highest priority Waterbird Plan Only a few breeding colonies","Mass Audubon 2019",5,2,2.6,1
"Bird","Gull","Laridae","Larus argentatus","European herring gull",NA,NA,1,NA,1,3,NA,"Y","Y","N",NA,1,2,"EN;BIO;INV;CC","Renewable energy, hunting & trapping terrestrial animals, fishing & harvesting aquatic resources, problematic native species/diseases, and habitat shifting & alteration","Decreasing","Only a few breeding colonies","Mass Audubon 2019",3,2,1.66666666666667,1.5
"Bird","Shorebird","Accipitridae","Haliaeetus leucocephalus","Bald eagle",NA,3,1,NA,1,4,NA,"Y","N","N",NA,1,NA,NA,NA,"Increasing",NA,"Mass Audubon 2019",4,1,2.25,1
"Bird","Gull","Laridae","Larus delawarensis","Ring-billed gull",NA,NA,1,NA,1,5,NA,"N","N","N",NA,1,NA,NA,NA,"Increasing",NA,"Mass Audubon 2019",3,1,2.33333333333333,1
"Fish","","Pleuronectidae","Hippoglossoides platessoides","American Plaice",NA,NA,NA,NA,NA,NA,NA,"N","N","N",NA,1,NA,NA,NA,NA,NA,"Hare et al. 2016 NEVA",0,1,NA,1
"Fish","","Pleuronectidae","Limanda ferruginea","Yellowtail Flounder",NA,NA,3,NA,1,NA,NA,"N","N","N",NA,1,NA,NA,NA,"Unspecified",NA,"Hare et al. 2016 NEVA",2,1,2,1
"Fish","","Scophthalmidae","Scophthalmus aquosus","Windowpane",NA,NA,NA,NA,1,NA,NA,"N","N","N",NA,1,NA,NA,NA,NA,NA,"Hare et al. 2016 NEVA",1,1,1,1
"Bird","Seaduck","Anatidae","Somateria mollissima","Common eider",NA,NA,2,4,1,4,NA,"Y","N","N",NA,2,2,"AG;EN;BIO;DIS;INV;POL;CC","Marine & freshwater aquaculture, mining & quarrying, hunting & trapping terrestrial animals, fishing & harvesting aquatic resources, recreational activities, work & other activities, invasive non-native/alien species/diseases, problematic native species/diseases, viral/prion-induced diseases, industrial & military effluents, garbage & solid waste, and habitat shifting & alteration","Unknown",NA,"Mass Audubon 2019",4,2,2.75,2
"Bird","Gull","Laridae","Larus marinus","Great black-backed gull",NA,NA,1,NA,1,3,NA,"Y","N","N",NA,2,NA,"BIO","Fishing & harvesting aquatic resources","Unknown","Only a few breeding colonies","Mass Audubon 2019",3,2,1.66666666666667,2
"Invertebrate","","Nephropidae","Homarus americanus","American lobster",NA,NA,1,NA,1,NA,NA,"N","Y",NA,NA,2,NA,"BIO","Fishing & harvesting aquatic resources","Stable",NA,"Hare et al. 2016 NEVA",2,2,1,2
"Bird","Shorebird","Scolopacidae","Actitis macularius","Spotted sandpiper",NA,NA,1,NA,1,2,NA,"N","","N",NA,2,NA,NA,NA,"Decreasing",NA,"Mass Audubon 2019",3,1,1.33333333333333,2
"Fish","","Ammodytidae","Ammodytes americanus","American sand lance",NA,NA,NA,NA,1,NA,NA,"N","N","N",NA,2,NA,NA,NA,NA,NA,"Hare et al. 2016 NEVA",1,1,1,2
"Fish","","Gadidae","Gadus morhua","Atlantic Cod",NA,NA,3,NA,1,NA,NA,"N","N","N",NA,2,NA,NA,NA,"Unspecified",NA,"Hare et al. 2016 NEVA",2,1,2,2
"Fish","","Gadidae","Pollachius virens","Pollock",NA,NA,NA,NA,1,NA,NA,"N","N","N",NA,2,NA,NA,NA,NA,NA,"Hare et al. 2016 NEVA",1,1,1,2
"Invertebrate","","Cancridae","Cancer borealis","Jonah Crab",NA,NA,NA,NA,1,NA,NA,"N","Y",NA,NA,2,NA,NA,NA,NA,NA,"Hare et al. 2016 NEVA",1,1,1,2
"Invertebrate","","Cancridae","Cancer irroratus","Rock Crab",NA,NA,NA,NA,1,NA,NA,"N","Y",NA,NA,2,NA,NA,NA,NA,NA,"Hare et al. 2016 NEVA",1,1,1,2
"Bird","Seaduck","Anatidae","Bucephala clangula","Common goldeneye",NA,NA,1,NA,1,1,NA,"N","N","N",NA,NA,NA,"AG;BIO;INV;POL","Wood & pulp plantations, hunting & trapping terrestrial animals, invasive non-native/alien species/diseases, and industrial & military effluents","Stable",NA,NA,3,1,1,NA
"Bird","Shorebird","Podicipedidae","Podiceps grisegena","Red-necked grebe",NA,NA,1,NA,1,2,NA,"N","N","N",NA,NA,2,"AG;EN;BIO;INV;POL;CC","Wood & pulp plantations, marine & freshwater aquaculture, renewable energy, fishing & harvesting aquatic resources, invasive non-native/alien species/diseases,  industrial & military effluents, agricultural & forestry effluents, and habitat shifting & alteration","Decreasing",NA,NA,3,1,1.33333333333333,2
"Bird","Shorebird","Alaudidae","Eremophila alpestris","Horned lark",NA,NA,1,4,1,3,NA,"Y","N","N",NA,NA,NA,"AG;INV;POL","Annual & perennial non-timber crops, livestock farming & ranching, invasive non-native/alien species/diseases, and agricultural & forestry effluents","Decreasing",NA,NA,4,1,2.25,NA
"Bird","Tern","Laridae","Chlidonias niger","Black tern",NA,NA,1,5,2,4,NA,"N","N","N",NA,NA,2,"AG;NAT;INV;CC","Annual & perennial non-timber crops, dams & water management/use, invasive non-native/alien species/diseases, and droughts","Decreasing",NA,NA,4,1,3,2
"Bird","Seabird","Procellariidae","Ardenna gravis","Greater shearwater",NA,NA,1,NA,1,1,NA,"N","N","N",NA,NA,NA,"BIO","Fishing & harvesting aquatic resources","Stable",NA,NA,3,1,1,NA
"Bird","Shorebird","Gaviidae","Gavia immer","Common loon",NA,3,1,5,1,4,NA,"Y","N","N",NA,NA,NA,"BIO","Fishing & harvesting aquatic resources","Stable","Highest priority Waterbird Plan",NA,5,1,2.8,NA
"Bird","Gull","Laridae","Larus glaucoides","Iceland gull",NA,NA,1,NA,1,4,NA,"N","N","N",NA,NA,NA,"BIO","Hunting & trapping terrestrial animals","Stable",NA,NA,3,1,2,NA
"Bird","Shorebird","Anatidae","Mergus serrator","Red-breasted merganser",NA,NA,1,NA,1,5,NA,"N","N","N",NA,NA,NA,"BIO","Hunting & trapping terrestrial animals","Stable",NA,NA,3,1,2.33333333333333,NA
"Bird","Shorebird","Phalacrocoracidae","Phalacrocorax carbo","Great cormorant",NA,NA,1,NA,1,5,NA,"N","N","N",NA,NA,NA,"BIO","Fishing & harvesting aquatic resources","Increasing",NA,NA,3,1,2.33333333333333,NA
"Bird","Tern","Laridae","Sterna dougallii","Roseate tern",5,5,1,5,2,4,NA,"Y","N","N",NA,NA,NA,"BIO","Hunting & trapping terrestrial animals and fishing & harvesting aquatic resources","Unknown","Highest priority Waterbird Plan",NA,6,1,3.66666666666667,NA
"Fish","","Molidae","Mola mola","Ocean Sunfish",NA,NA,3,NA,1,NA,NA,"N","N","N",NA,NA,NA,"BIO","Fishing & harvesting aquatic resources","Decreasing",NA,NA,2,1,2,NA
"Mammal","Whale","Balaenopteridae","Balaenoptera acutorostrata","Minke whale",NA,NA,1,NA,1,3,NA,"N","N",NA,NA,NA,NA,"BIO","Fishing & harvesting aquatic resources","Unknown",NA,NA,3,1,1.66666666666667,NA
"Mammal","Porpoise","Phocoenidae","Phocoena phocoena","Harbor Porpoise",NA,NA,3,NA,2,2,NA,"N","N",NA,NA,NA,NA,"BIO;DEV;POL","Fishing & harvesting aquatic resources, commercial & industrial areas, domestic & urban waste water, industrial & military effluents, agricultural & forestry effluents, and excess energy","Unknown",NA,NA,3,1,2.33333333333333,NA
"Mammal","Seal","Phocidae","Phoca vitulina","Harbor Seal",NA,NA,1,NA,1,2,NA,"N","Y",NA,NA,NA,2,"BIO;DEV;POL;DIS;NAT;CC","Fishing & harvesting aquatic resources, commercial & industrial areas, domestic & urban waste water, industrial & military effluents, agricultural & forestry effluents, work & other activities, dams & water management/use, and habitat shifting & alteration","Unknown",NA,NA,3,1,1.33333333333333,2
"Bird","Tern","Laridae","Hydroprogne caspia","Caspian tern",NA,NA,1,NA,1,4,NA,"N","N","N",NA,NA,NA,"BIO;DIS","Hunting & trapping terrestrial animals and recreational activities","Increasing",NA,NA,3,1,2,NA
"Mammal","Dolphin","Delphinidae","Grampus griseus","Risso's Dolphin",NA,NA,1,NA,1,3,NA,"N","N",NA,NA,NA,2,"BIO;DIS;POL;CC","Fishing & harvesting aquatic resources, recreational activities, war, civil unrest & military exercises, excess energy, and habitat shifting & alteration","Unknown",NA,NA,3,1,1.66666666666667,2
"Bird","Seabird","Alcidae","Cepphus grylle","Black guillemot",NA,NA,1,NA,1,2,NA,"N","N","N",NA,NA,NA,"BIO;INV;POL","Fishing & harvesting aquatic resources, invasive non-native/alien species/diseases, industrial & military effluents, and agricultural & forestry effluents","Unknown",NA,NA,3,1,1.33333333333333,NA
"Bird","Seabird","Procellariidae","Puffinus puffinus","Manx shearwater",NA,NA,1,NA,1,NA,NA,"Y","N","N",NA,NA,NA,"BIO;INV;POL","Hunting & trapping terrestrial animals, invasive non-native/alien species/diseases, and excess energy","Unknown",NA,NA,2,1,1,NA
"Mammal","Seal","Phocidae","Pagophilus groenlandicus","Harp Seal",NA,NA,1,NA,1,NA,NA,"N","N",NA,NA,NA,2,"BIO;INV;POL;CC","Fishing & harvesting aquatic resources, problematic native species/diseases, viral/prion-induced diseases, industrial & military effluents, agricultural & forestry effluents, and habitat shifting & alteration","Increasing",NA,NA,2,1,1,2
"Mammal","Seal","Phocidae","Halichoerus grypus","Gray Seal",NA,NA,1,NA,1,2,NA,"N","N",NA,NA,NA,2,"BIO;POL;CC","Fishing & harvesting aquatic resources, industrial & military effluents, agricultural & forestry effluents, and habitat shifting & alteration","Increasing",NA,NA,3,1,1.33333333333333,2
"Mammal","Dolphin","Delphinidae","Lagenorhynchus acutus","Atlantic White-Sided Dolphin",NA,NA,1,NA,1,2,NA,"N","N",NA,NA,NA,2,"BIO;POL;CC","Fishing & harvesting aquatic resources, garbage & solid waste, habitat shifting & alteration","Unknown",NA,NA,3,1,1.33333333333333,2
"Bird","Gull","Laridae","Larus fuscus","Lesser black-backed gull",NA,NA,1,NA,1,5,NA,"N","N","N",NA,NA,NA,"BIO;POLL","Hunting & trapping terrestrial animals and agricultural & forestry effluents","Increasing",NA,NA,3,1,2.33333333333333,NA
"Mammal","Whale","Balaenopteridae","Balaenoptera physalus","Fin Whale",5,5,3,5,3,4,NA,"Y","N",NA,NA,NA,NA,"BIO;TRA","Fishing & harvesting aquatic resources and shipping lanes","Increasing",NA,NA,6,1,4.16666666666667,NA
"Mammal","Whale","Balaenidae","Eubalaena glacialis","North Atlantic Right Whale",5,5,5,5,5,5,NA,"N","N",NA,NA,NA,NA,"BIO;TRA;POL","Fishing & harvesting aquatic resources, shipping lanes, and excess energy","Decreasing",NA,NA,4,1,5,NA
"Mammal","Whale","Balaenopteridae","Megaptera novaeangliae","Humpback Whale",NA,5,1,5,2,4,NA,"Y","N",NA,NA,NA,NA,"BIO;TRA;POL;EN","Fishing & harvesting aquatic resources, shipping lanes, excess energy, and oil & gas drilling","Increasing",NA,NA,5,1,3.4,NA
"Bird","Shorebird","Ardeidae","Ardea alba","Great egret",NA,NA,1,NA,1,4,NA,"Y","N","N",NA,NA,2,"CC","Habitat shifting & alteration","Unknown",NA,NA,3,1,2,2
"Bird","Seaduck","Anatidae","Branta bernicla","Brant",NA,NA,1,NA,1,2,NA,"N","N","N",NA,NA,2,"CC","Habitat shifting & alteration","Unknown",NA,NA,3,1,1.33333333333333,2
"Bird","Shorebird","Scolopacidae","Calidris alba","Sanderling",NA,NA,1,4,1,1,NA,"Y","Y","N",NA,NA,2,"CC","Habitat shifting & alteration","Unknown",NA,NA,4,1,1.75,2
"Bird","Shorebird","Scolopacidae","Calidris fuscicollis","White-rumped sandpiper",NA,NA,1,NA,1,3,NA,"N","","N",NA,NA,2,"CC","Habitat shifting & alteration","Decreasing",NA,NA,3,1,1.66666666666667,2
"Bird","Shorebird","Scolopacidae","Calidris maritima","Purple sandpiper",NA,NA,1,5,1,2,4,"Y","","N",NA,NA,2,"CC","Habitat shifting & alteration","Decreasing",NA,NA,5,1,2.6,2
"Bird","Shorebird","Scolopacidae","Calidris minutilla","Least sandpiper",NA,NA,1,NA,1,1,NA,"N","","N",NA,NA,2,"CC","Habitat shifting & alteration","Decreasing",NA,NA,3,1,1,2
