Taxon,Subtaxon,Family,Scientific Name,Common Name,ESA,MESA,IUCN,RSGCN,G-Rank,S-Rank,USFWS,SGCN,BHHA,Priority at-risk Species,Thresholds,CCVA,Threats,Description of Threats,Pop. Trend,Other,CCVA Source,Total # of Conservation Sources,Total # of Climate Sources
Fish,,Anguillidae,Anguilla rostrata,American eel,NA,NA,EN,VH,G4,S3,50,N,Y,N,N,H,BIO;NAT;INV;POL;CC,"Fishing & harvesting aquatic resources, dams & water management/use, invasive non-native/alien species/diseases, domestic & urban waste water, industrial & military effluents, and habitat shifting & alteration",Decreasing,NA,Hare et al. 2016 NEVA,5,2
Bird,Shorebird,Charadriidae,Charadrius melodus,Piping plover,T,T,NT,VH,G3,S2,NA,Y,Y,N,Y,H,DEV;DIS;INV;CC,"Commercial & industrial areas, recreational activities, work & other activities, invasive non-native/alien species/diseases, problematic native species/diseases, droughts, and storms & flooding",Increasing,Highest priority Waterbird Plan,Mass Audubon 2019,6,3
Fish,,Zoarcidae,Zoarces americanus,Ocean pout,NA,NA,NA,NA,G5,NA,NA,N,N,N,N,H,NA,NA,NA,NA,Hare et al. 2016 NEVA,1,1
Invertebrate,,Pectinidae,Placopecten magellanicus,Atlantic sea scallop,NA,NA,NA,NA,NA,NA,NA,N,Y,NA,N,H,NA,NA,NA,NA,Hare et al. 2016 NEVA,0,1
Invertebrate,,Mactridae,Spisula solidissima,Atlantic surf clam,NA,NA,NA,NA,G5,NA,NA,N,Y,NA,N,H,NA,NA,NA,NA,Hare et al. 2016 NEVA,1,1
Invertebrate,,Strongylocentrotidae,Strongylocentrotus droebachiensis,Green sea urchin,NA,NA,NA,NA,G5,NA,NA,N,Y,NA,N,H,NA,NA,NA,NA,Hare et al. 2016 NEVA,1,1
Fish,,Clupeidae,Clupea harengus,Atlantic Herring,NA,NA,LC,NA,NA,NA,NA,N,N,N,N,L,BIO,Fishing & harvesting aquatic resources,Increasing,NA,Hare et al. 2016 NEVA,1,2
Fish,,Rajidae,Leucoraja erinacea,Little Skate,NA,NA,LC,NA,G5,NA,NA,N,N,N,N,L,BIO,Fishing & harvesting aquatic resources,Increasing,NA,Hare et al. 2016 NEVA,2,2
Fish,,Merlucciidae,Merluccius bilinearis,Silver Hake,NA,NA,NT,NA,G5,NA,NA,N,N,N,N,L,BIO,Fishing & harvesting aquatic resources,Unknown,NA,Hare et al. 2016 NEVA,2,2
Bird,Tern,Laridae,Sterna hirundo,Common tern,NA,SC,LC,VH,G5,S3,NA,Y,Y,N,N,L,BIO;DIS,Hunting & trapping terrestrial animals and recreational activities,Unknown,Highest priority Waterbird Plan Only a few breeding colonies,Mass Audubon 2019,5,2
